Username,Gender,Age,Activity,Duration,Calories,Steps,Mood,Date
john5@hotmail.com,Male,34,running,89.0,868.15,4349,Happy,2024-02-20
ava5@yahoo.com,Female,42,gym,39.0,266.51,0,Energetic,2024-01-17
sophia4@yahoo.com,Female,45,walking,100.0,832.66,10209,Tired,2024-11-28
james2@outlook.com,Male,43,swimming,52.0,521.25,0,Energetic,2024-11-13
daniel4@hotmail.com,Male,53,walking,53.0,293.88,7043,Sad,2024-10-21
david5@icloud.com,Male,28,swimming,25.0,291.22,0,Sad,2024-06-03
sophia5@yahoo.com,Female,27,walking,20.0,258.12,7784,Sad,2024-02-15
james3@icloud.com,Male,43,running,33.0,607.65,90,Happy,2024-07-08
john6@yahoo.com,Male,25,yoga,32.0,731.2,0,Tired,2024-09-20
david6@icloud.com,Male,53,yoga,35.0,682.11,0,Energetic,2024-05-25
david7@gmail.com,Male,58,running,50.0,423.89,11690,Tired,2024-04-09
michael4@hotmail.com,Male,42,swimming,34.0,650.46,0,Energetic,2024-07-11
james4@gmail.com,Male,49,running,49.0,420.46,475,Energetic,2024-06-22
emma3@gmail.com,Female,57,gym,18.0,820.89,0,Tired,2024-11-01
michael5@hotmail.com,Male,34,yoga,56.0,229.91,0,Tired,2024-07-09
emily2@icloud.com,Female,19,swimming,84.0,94.27,0,Neutral,2024-11-03
sophia6@gmail.com,Female,19,gym,34.0,252.76,0,Happy,2024-10-07
ava6@hotmail.com,Female,28,cycling,28.0,541.88,0,Sad,2024-11-13
sophia7@icloud.com,Female,62,cycling,102.0,560.35,0,Sad,2024-01-12
olivia3@hotmail.com,Female,44,yoga,28.0,418.49,0,Energetic,2024-12-05
daniel5@hotmail.com,Male,47,yoga,120.0,671.37,0,Tired,2024-04-27
emma4@gmail.com,Female,39,walking,78.0,773.31,2979,Energetic,2024-04-12
daniel6@hotmail.com,Male,51,running,25.0,255.15,6658,Energetic,2024-09-25
emma5@hotmail.com,Female,23,cycling,43.0,393.74,0,Tired,2024-11-19
david8@yahoo.com,Male,40,swimming,73.0,280.28,0,Neutral,2024-02-24
michael6@gmail.com,Male,31,swimming,76.0,285.02,0,Sad,2024-10-10
olivia4@icloud.com,Female,37,walking,105.0,504.01,4494,Happy,2024-01-18
emma6@gmail.com,Female,18,gym,51.0,448.99,0,Tired,2024-03-02
emily3@hotmail.com,Female,49,walking,88.0,585.03,878,Neutral,2024-03-26
emily4@yahoo.com,Female,56,gym,116.0,575.66,0,Sad,2024-07-15
james5@yahoo.com,Male,54,gym,22.0,568.19,0,Happy,2024-04-21
michael7@outlook.com,Male,28,walking,67.0,432.93,9729,Energetic,2024-05-02
emma7@outlook.com,Female,61,running,48.0,719.65,10240,Sad,2024-11-26
michael8@yahoo.com,Male,27,walking,22.0,191.03,5039,Energetic,2024-12-27
sophia8@gmail.com,Female,61,cycling,88.0,84.2,0,Neutral,2024-08-17
ava7@gmail.com,Female,58,yoga,26.0,449.51,0,Tired,2024-06-22
emma8@hotmail.com,Female,60,yoga,119.0,696.42,0,Energetic,2024-02-11
david9@outlook.com,Male,60,gym,74.0,401.26,0,Sad,2024-06-20
sophia9@yahoo.com,Female,53,running,51.0,422.4,11440,Energetic,2024-02-01
michael9@hotmail.com,Male,53,walking,85.0,396.79,3681,Happy,2024-08-04
daniel7@icloud.com,Male,44,yoga,75.0,257.17,0,Neutral,2024-07-07
emily5@icloud.com,Female,44,cycling,115.0,481.58,0,Happy,2024-05-24
emma9@gmail.com,Female,46,gym,76.0,343.36,0,Sad,2024-07-15
sophia10@hotmail.com,Female,32,yoga,20.0,320.45,0,Energetic,2024-07-22
michael10@hotmail.com,Male,48,cycling,58.0,579.77,0,Happy,2024-06-28
emma10@yahoo.com,Female,57,walking,45.0,586.49,4708,Neutral,2024-12-03
emily6@hotmail.com,Female,28,swimming,53.0,817.91,0,Tired,2024-01-10
james6@yahoo.com,Male,28,running,25.0,568.07,6267,Sad,2024-11-08
daniel8@outlook.com,Male,34,swimming,16.0,814.07,0,Tired,2024-11-18
ava8@hotmail.com,Female,58,yoga,103.0,262.58,0,Tired,2024-04-13
olivia5@gmail.com,Female,62,cycling,17.0,881.25,0,Energetic,2024-05-01
john7@gmail.com,Male,36,running,92.0,731.64,3588,Neutral,2024-10-09
michael11@hotmail.com,Male,58,swimming,20.0,312.59,0,Happy,2024-10-12
james7@outlook.com,Male,30,running,115.0,508.5,5994,Tired,2024-09-09
emma11@icloud.com,Female,39,walking,74.0,868.46,2306,Neutral,2024-11-24
david10@gmail.com,Male,23,yoga,16.0,274.79,0,Energetic,2024-06-22
olivia6@outlook.com,Female,61,running,75.0,71.27,14487,Sad,2024-06-20
daniel9@hotmail.com,Male,25,running,20.0,854.32,4986,Energetic,2024-02-04
olivia7@outlook.com,Female,55,swimming,108.0,181.34,0,Happy,2024-08-20
olivia8@icloud.com,Female,46,yoga,45.0,777.13,0,Tired,2024-09-21
emily7@icloud.com,Female,23,swimming,42.0,595.45,0,Happy,2024-01-26
michael12@icloud.com,Male,52,cycling,117.0,198.32,0,Happy,2024-03-01
john8@yahoo.com,Male,34,walking,31.0,680.46,8619,Happy,2024-12-03
james8@gmail.com,Male,61,walking,77.0,655.54,7267,Happy,2024-02-11
ava9@icloud.com,Female,42,gym,82.0,300.66,0,Sad,2024-07-04
daniel10@gmail.com,Male,27,swimming,75.0,107.06,0,Happy,2024-02-14
david12@icloud.com,Male,55,gym,86.0,330.2,0,Energetic,2024-06-28
john9@outlook.com,Male,56,cycling,60.0,138.06,0,Neutral,2024-03-22
david13@gmail.com,Male,25,cycling,88.0,242.24,0,Sad,2024-10-20
daniel11@gmail.com,Male,29,cycling,104.0,698.05,0,Tired,2024-01-06
michael13@hotmail.com,Male,23,swimming,82.0,232.86,0,Energetic,2024-06-06
ava10@outlook.com,Female,21,running,35.0,691.27,815,Happy,2024-05-15
emily8@hotmail.com,Female,54,yoga,88.0,393.76,0,Energetic,2024-05-04
ava11@icloud.com,Female,62,cycling,26.0,421.21,0,Neutral,2024-07-19
olivia9@gmail.com,Female,39,running,24.0,483.91,1868,Sad,2024-09-07
michael14@outlook.com,Male,24,running,47.0,217.68,9869,Neutral,2024-11-03
ava12@outlook.com,Female,61,gym,97.0,590.0,0,Tired,2024-11-11
daniel12@yahoo.com,Male,55,walking,60.0,481.24,5085,Energetic,2024-08-02
emily9@icloud.com,Female,47,gym,85.0,861.1,0,Happy,2024-08-26
david14@gmail.com,Male,21,yoga,28.0,739.32,0,Tired,2024-12-03
emma12@icloud.com,Female,51,gym,93.0,184.93,0,Tired,2024-07-14
olivia10@yahoo.com,Female,39,walking,86.0,626.62,4655,Tired,2024-12-28
olivia11@yahoo.com,Female,55,swimming,33.0,829.23,0,Energetic,2024-03-20
daniel13@outlook.com,Male,31,cycling,113.0,463.33,0,Neutral,2024-03-03
david15@yahoo.com,Male,60,cycling,113.0,575.33,0,Energetic,2024-03-06
michael15@icloud.com,Male,20,yoga,61.0,624.91,0,Energetic,2024-10-10
sophia11@gmail.com,Female,48,running,62.0,626.56,9345,Energetic,2024-08-25
michael16@hotmail.com,Male,56,running,47.0,94.35,7873,Tired,2024-09-04
john10@icloud.com,Male,50,cycling,45.0,378.24,0,Tired,2024-04-01
olivia12@yahoo.com,Female,54,yoga,38.0,614.72,0,Sad,2024-06-03
david16@yahoo.com,Male,42,yoga,20.0,590.32,0,Tired,2024-12-01
emily10@outlook.com,Female,26,walking,60.0,514.11,13328,Neutral,2024-11-15
michael17@outlook.com,Male,63,yoga,19.0,299.43,0,Neutral,2024-01-11
david17@outlook.com,Male,34,walking,111.0,599.87,4687,Tired,2024-01-28
james9@icloud.com,Male,46,yoga,58.0,877.67,0,Energetic,2024-06-26
emily11@hotmail.com,Female,56,running,84.0,299.7,1680,Happy,2024-06-22
michael18@outlook.com,Male,40,yoga,20.0,667.79,0,Tired,2024-10-14
emily12@gmail.com,Female,41,gym,117.0,687.41,0,Happy,2024-03-28
emily14@outlook.com,Female,51,cycling,65.0,317.23,0,Neutral,2024-02-01
david18@outlook.com,Male,34,cycling,105.0,429.33,0,Tired,2024-12-16
michael19@hotmail.com,Male,23,swimming,55.0,617.66,0,Happy,2024-09-18
michael20@hotmail.com,Male,50,running,30.0,887.36,12977,Neutral,2024-04-26
emma13@icloud.com,Female,57,walking,23.0,312.9,11746,Energetic,2024-09-14
olivia13@icloud.com,Female,46,yoga,102.0,489.76,0,Sad,2024-11-19
john11@gmail.com,Male,51,running,53.0,189.96,5286,Neutral,2024-06-17
david19@hotmail.com,Male,26,swimming,53.0,572.26,0,Sad,2024-11-06
ava13@icloud.com,Female,54,walking,120.0,784.21,1330,Happy,2024-11-25
james10@icloud.com,Male,49,swimming,84.0,296.22,0,Energetic,2024-04-26
john12@outlook.com,Male,46,yoga,76.0,444.78,0,Sad,2024-03-11
olivia14@hotmail.com,Female,26,cycling,80.0,527.4,0,Neutral,2024-08-04
daniel14@icloud.com,Male,57,yoga,46.0,868.28,0,Neutral,2024-06-19
david20@outlook.com,Male,49,cycling,78.0,69.7,0,Sad,2024-08-08
emma14@gmail.com,Female,36,gym,16.0,770.1,0,Neutral,2024-05-24
john13@yahoo.com,Male,41,gym,51.0,112.5,0,Energetic,2024-09-09
michael21@hotmail.com,Male,43,cycling,116.0,888.77,0,Tired,2024-03-07
john14@gmail.com,Male,63,cycling,117.0,452.68,0,Neutral,2024-10-17
james11@gmail.com,Male,55,cycling,79.0,754.05,0,Energetic,2024-12-19
emily15@hotmail.com,Female,55,cycling,116.0,813.95,0,Happy,2024-10-16
ava14@yahoo.com,Female,64,walking,89.0,458.38,8589,Sad,2024-07-05
emily16@outlook.com,Female,19,yoga,55.0,405.96,0,Neutral,2024-07-17
john15@gmail.com,Male,51,running,86.0,326.29,10849,Energetic,2024-09-13
olivia15@gmail.com,Female,61,swimming,102.0,596.81,0,Tired,2024-10-16
sophia12@yahoo.com,Female,36,swimming,41.0,636.7,0,Tired,2024-08-12
emma15@outlook.com,Female,48,running,40.0,753.76,4442,Sad,2024-12-09
sophia13@gmail.com,Female,60,gym,43.0,592.25,0,Happy,2024-07-11
john16@yahoo.com,Male,44,swimming,75.0,455.83,0,Tired,2024-06-10
ava15@hotmail.com,Female,52,swimming,107.0,772.78,0,Neutral,2024-07-27
james12@yahoo.com,Male,29,swimming,52.0,795.23,0,Tired,2024-10-20
david21@yahoo.com,Male,26,gym,74.0,281.91,0,Happy,2024-06-06
john17@icloud.com,Male,36,gym,101.0,693.69,0,Sad,2024-11-13
emily17@gmail.com,Female,26,yoga,56.0,845.45,0,Tired,2024-07-08
ava16@outlook.com,Female,34,swimming,61.0,638.85,0,Happy,2024-08-10
daniel15@hotmail.com,Male,58,cycling,62.0,572.43,0,Neutral,2024-08-05
david22@icloud.com,Male,52,swimming,120.0,235.65,0,Sad,2024-02-17
ava17@yahoo.com,Female,21,gym,79.0,221.83,0,Neutral,2024-03-11
ava18@hotmail.com,Female,23,gym,72.0,737.39,0,Neutral,2024-09-14
daniel16@outlook.com,Male,43,cycling,119.0,52.56,0,Sad,2024-02-02
john18@hotmail.com,Male,48,walking,51.0,397.54,12598,Neutral,2024-11-24
james13@hotmail.com,Male,42,yoga,25.0,630.32,0,Sad,2024-03-21
james14@gmail.com,Male,64,running,15.0,692.75,4888,Energetic,2024-11-24
sophia14@outlook.com,Female,40,running,50.0,210.21,14339,Happy,2024-01-26
john19@yahoo.com,Male,31,walking,27.0,554.85,7314,Sad,2024-11-23
emma16@gmail.com,Female,52,running,111.0,784.17,924,Neutral,2024-09-10
ava19@gmail.com,Female,33,cycling,33.0,887.84,0,Neutral,2024-07-10
michael22@yahoo.com,Male,53,yoga,21.0,876.45,0,Energetic,2024-09-11
michael23@icloud.com,Male,33,running,53.0,778.91,2365,Energetic,2024-01-18
james15@outlook.com,Male,34,running,57.0,599.7,7369,Tired,2024-02-18
ava20@hotmail.com,Female,22,running,117.0,697.44,11867,Sad,2024-04-16
john20@icloud.com,Male,30,swimming,30.0,684.85,0,Energetic,2024-04-23
david23@outlook.com,Male,36,yoga,74.0,503.6,0,Tired,2024-05-12
james16@outlook.com,Male,27,running,57.0,245.52,9335,Neutral,2024-08-18
emma17@hotmail.com,Female,47,running,108.0,725.73,2773,Neutral,2024-12-18
john21@icloud.com,Male,22,swimming,21.0,699.69,0,Neutral,2024-11-08
ava21@icloud.com,Female,40,cycling,116.0,387.36,0,Energetic,2024-08-19
emily18@hotmail.com,Female,23,yoga,63.0,370.59,0,Happy,2024-11-01
david24@hotmail.com,Male,29,cycling,17.0,867.25,0,Neutral,2024-12-27
sophia15@outlook.com,Female,61,gym,57.0,376.27,0,Neutral,2024-12-24
emily19@icloud.com,Female,32,walking,58.0,564.39,10057,Sad,2024-07-25
emma18@yahoo.com,Female,32,cycling,85.0,849.97,0,Neutral,2024-11-19
olivia16@outlook.com,Female,56,gym,115.0,325.77,0,Happy,2024-05-14
sophia16@yahoo.com,Female,61,yoga,36.0,168.01,0,Tired,2024-08-05
james17@outlook.com,Male,57,yoga,117.0,782.87,0,Tired,2024-07-27
daniel17@yahoo.com,Male,56,swimming,40.0,457.16,0,Energetic,2024-06-10
sophia17@hotmail.com,Female,42,cycling,119.0,717.99,0,Happy,2024-10-07
david25@outlook.com,Male,64,yoga,105.0,228.2,0,Tired,2024-12-03
emma19@outlook.com,Female,58,cycling,45.0,264.78,0,Energetic,2024-07-03
david26@gmail.com,Male,52,walking,116.0,873.16,11495,Sad,2024-10-21
david27@yahoo.com,Male,46,cycling,65.0,443.6,0,Sad,2024-12-17
daniel18@outlook.com,Male,23,walking,108.0,170.42,5110,Tired,2024-08-26
emma20@outlook.com,Female,38,walking,53.0,87.98,11645,Happy,2024-01-28
sophia18@hotmail.com,Female,53,running,57.0,525.87,7570,Neutral,2024-07-21
john23@yahoo.com,Male,46,gym,69.0,380.51,0,Neutral,2024-04-09
emily20@icloud.com,Female,41,cycling,40.0,438.92,0,Energetic,2024-09-21
emily21@yahoo.com,Female,40,yoga,94.0,196.65,0,Tired,2024-10-19
daniel19@icloud.com,Male,29,cycling,103.0,170.15,0,Energetic,2024-10-05
michael24@outlook.com,Male,42,gym,79.0,605.11,0,Energetic,2024-07-23
john24@yahoo.com,Male,36,walking,50.0,241.12,4729,Neutral,2024-08-19
sophia19@yahoo.com,Female,20,yoga,48.0,346.29,0,Happy,2024-08-28
ava22@yahoo.com,Female,63,gym,95.0,413.94,0,Neutral,2024-04-27
daniel20@yahoo.com,Male,38,swimming,52.0,295.93,0,Sad,2024-11-27
john25@gmail.com,Male,59,running,104.0,786.17,4090,Neutral,2024-12-11
emma21@gmail.com,Female,54,swimming,49.0,583.64,0,Energetic,2024-02-21
daniel21@outlook.com,Male,47,yoga,56.0,544.66,0,Happy,2024-12-15
david28@icloud.com,Male,31,yoga,120.0,230.07,0,Tired,2024-05-11
olivia17@yahoo.com,Female,20,walking,95.0,716.31,7529,Happy,2024-02-28
james18@hotmail.com,Male,62,running,98.0,306.59,14326,Tired,2024-02-21
michael25@outlook.com,Male,43,swimming,54.0,667.09,0,Neutral,2024-07-21
emily23@outlook.com,Female,55,running,81.0,627.99,152,Happy,2024-12-11
michael26@yahoo.com,Male,22,running,64.0,125.93,13204,Happy,2024-02-11
michael27@yahoo.com,Male,22,gym,87.0,57.2,0,Neutral,2024-08-12
james19@icloud.com,Male,31,walking,27.0,169.01,2017,Sad,2024-12-13
daniel22@gmail.com,Male,51,gym,80.0,210.35,0,Tired,2024-11-02
james20@outlook.com,Male,33,yoga,96.0,554.84,0,Happy,2024-06-11
olivia18@outlook.com,Female,48,walking,17.0,549.26,225,Tired,2024-04-02
daniel23@yahoo.com,Male,45,swimming,66.0,120.06,0,Sad,2024-10-05
sophia20@outlook.com,Female,52,cycling,65.0,548.47,0,Happy,2024-05-23
michael28@hotmail.com,Male,28,yoga,59.0,494.55,0,Tired,2024-03-12
emily24@icloud.com,Female,39,yoga,49.0,495.28,0,Sad,2024-11-03
john26@yahoo.com,Male,20,yoga,61.0,375.53,0,Neutral,2024-01-18
sophia21@icloud.com,Female,33,yoga,107.0,321.94,0,Happy,2024-10-12
james21@outlook.com,Male,32,gym,59.0,590.55,0,Happy,2024-06-01
daniel24@gmail.com,Male,31,gym,45.0,406.84,0,Neutral,2024-12-09
david29@gmail.com,Male,62,cycling,73.0,878.37,0,Sad,2024-02-17
ava23@hotmail.com,Female,45,swimming,31.0,251.26,0,Tired,2024-07-23
sophia22@hotmail.com,Female,30,running,114.0,704.62,1785,Neutral,2024-02-06
olivia19@yahoo.com,Female,46,cycling,74.0,275.26,0,Happy,2024-03-26
john27@hotmail.com,Male,38,running,26.0,654.48,5828,Energetic,2024-09-02
john28@outlook.com,Male,46,gym,110.0,517.6,0,Energetic,2024-02-26
emily25@yahoo.com,Female,59,yoga,118.0,159.47,0,Tired,2024-02-02
james22@gmail.com,Male,49,walking,63.0,630.73,2831,Tired,2024-04-06
ava24@icloud.com,Female,59,cycling,78.0,400.19,0,Energetic,2024-01-03
david30@icloud.com,Male,58,gym,116.0,66.6,0,Tired,2024-08-18
olivia20@outlook.com,Female,35,running,18.0,321.05,3588,Happy,2024-05-02
ava25@outlook.com,Female,28,walking,46.0,608.33,4366,Sad,2024-12-02
james23@hotmail.com,Male,29,running,45.0,553.64,13208,Tired,2024-10-01
olivia21@outlook.com,Female,26,cycling,106.0,200.84,0,Tired,2024-01-01
emily26@icloud.com,Female,22,cycling,105.0,850.63,0,Sad,2024-02-11
james24@yahoo.com,Male,59,cycling,37.0,651.11,0,Sad,2024-06-08
daniel25@icloud.com,Male,29,swimming,15.0,856.47,0,Energetic,2024-10-02
ava26@hotmail.com,Female,58,gym,28.0,846.18,0,Tired,2024-12-03
emily27@outlook.com,Female,46,walking,48.0,228.23,11356,Happy,2024-06-09
emma22@gmail.com,Female,28,yoga,78.0,799.51,0,Sad,2024-07-04
sophia23@hotmail.com,Female,46,walking,117.0,768.9,4831,Happy,2024-06-09
james25@gmail.com,Male,64,walking,85.0,850.56,1525,Tired,2024-10-20
michael29@yahoo.com,Male,28,walking,27.0,331.43,3112,Energetic,2024-12-18
daniel26@icloud.com,Male,33,walking,21.0,383.97,9005,Energetic,2024-03-02
ava27@gmail.com,Female,30,walking,18.0,225.91,10456,Tired,2024-02-16
emma23@outlook.com,Female,23,swimming,84.0,379.4,0,Energetic,2024-06-06
sophia24@gmail.com,Female,54,walking,34.0,689.4,10935,Happy,2024-02-22
ava28@hotmail.com,Female,53,walking,64.0,745.64,6858,Sad,2024-11-28
daniel27@icloud.com,Male,43,swimming,19.0,476.79,0,Sad,2024-10-22
emma24@yahoo.com,Female,28,running,118.0,213.82,699,Energetic,2024-02-22
ava29@hotmail.com,Female,38,swimming,118.0,106.96,0,Sad,2024-07-18
john29@outlook.com,Male,25,yoga,34.0,175.97,0,Sad,2024-02-04
david31@gmail.com,Male,44,cycling,64.0,606.57,0,Sad,2024-08-02
daniel28@outlook.com,Male,62,swimming,27.0,876.62,0,Neutral,2024-05-24
james26@gmail.com,Male,30,yoga,42.0,826.42,0,Energetic,2024-09-28
emily28@icloud.com,Female,63,gym,66.0,165.3,0,Sad,2024-10-01
john30@yahoo.com,Male,20,yoga,21.0,830.33,0,Neutral,2024-05-12
emily29@icloud.com,Female,33,cycling,77.0,554.94,0,Energetic,2024-10-18
emily30@icloud.com,Female,19,yoga,21.0,188.47,0,Neutral,2024-04-21
daniel29@yahoo.com,Male,45,yoga,59.0,440.15,0,Energetic,2024-05-22
john31@outlook.com,Male,53,swimming,91.0,567.69,0,Happy,2024-08-03
daniel30@yahoo.com,Male,59,swimming,98.0,303.97,0,Sad,2024-04-02
david32@gmail.com,Male,36,walking,75.0,158.75,4237,Sad,2024-03-22
sophia25@icloud.com,Female,44,cycling,62.0,271.48,0,Energetic,2024-02-16
ava31@hotmail.com,Female,48,running,79.0,151.84,11152,Energetic,2024-09-10
sophia26@gmail.com,Female,44,gym,73.0,171.74,0,Neutral,2024-02-16
john32@icloud.com,Male,46,cycling,41.0,697.01,0,Sad,2024-03-16
david33@hotmail.com,Male,19,swimming,15.0,582.68,0,Neutral,2024-12-12
daniel31@yahoo.com,Male,22,walking,53.0,856.19,7469,Sad,2024-10-17
olivia22@hotmail.com,Female,40,running,36.0,855.87,13303,Energetic,2024-01-08
john33@outlook.com,Male,25,cycling,106.0,602.96,0,Energetic,2024-11-09
john34@icloud.com,Male,59,walking,21.0,636.29,6828,Energetic,2024-07-04
ava32@icloud.com,Female,36,walking,115.0,140.32,3254,Sad,2024-04-25
ava33@gmail.com,Female,27,walking,114.0,484.95,11854,Happy,2024-05-21
emma25@outlook.com,Female,24,running,20.0,774.41,5901,Tired,2024-07-24
john36@hotmail.com,Male,60,swimming,36.0,329.36,0,Energetic,2024-10-09
michael30@yahoo.com,Male,43,yoga,73.0,281.06,0,Energetic,2024-07-21
ava34@hotmail.com,Female,60,cycling,81.0,494.64,0,Sad,2024-02-14
james27@outlook.com,Male,53,gym,21.0,59.9,0,Sad,2024-08-28
olivia23@hotmail.com,Female,39,cycling,21.0,480.89,0,Energetic,2024-07-27
emily31@outlook.com,Female,50,gym,41.0,606.41,0,Tired,2024-06-27
daniel32@gmail.com,Male,62,walking,20.0,812.35,8067,Neutral,2024-12-24
sophia27@outlook.com,Female,43,running,73.0,750.87,3122,Tired,2024-02-25
ava35@outlook.com,Female,50,running,103.0,541.77,11968,Neutral,2024-02-13
james28@outlook.com,Male,56,swimming,112.0,261.0,0,Tired,2024-05-15
david34@outlook.com,Male,62,gym,55.0,655.09,0,Neutral,2024-04-07
michael31@hotmail.com,Male,50,gym,103.0,591.35,0,Happy,2024-06-18
james29@icloud.com,Male,45,walking,81.0,140.5,6240,Neutral,2024-01-22
daniel33@gmail.com,Male,27,walking,103.0,716.7,3342,Sad,2024-01-12
olivia24@yahoo.com,Female,18,swimming,47.0,222.62,0,Energetic,2024-04-21
david35@hotmail.com,Male,64,running,52.0,431.49,11184,Happy,2024-03-06
ava36@hotmail.com,Female,58,gym,99.0,305.98,0,Sad,2024-09-12
michael32@hotmail.com,Male,50,running,68.0,511.62,6609,Happy,2024-06-08
daniel34@outlook.com,Male,57,gym,75.0,897.14,0,Happy,2024-02-22
ava37@yahoo.com,Female,20,swimming,56.0,374.17,0,Happy,2024-07-09
olivia25@hotmail.com,Female,49,walking,52.0,813.54,3154,Tired,2024-09-03
david36@hotmail.com,Male,58,walking,41.0,619.78,12674,Neutral,2024-11-14
james30@yahoo.com,Male,61,running,18.0,440.34,5434,Happy,2024-02-03
ava38@icloud.com,Female,55,walking,104.0,771.01,5860,Sad,2024-02-10
emma26@icloud.com,Female,43,swimming,18.0,452.89,0,Neutral,2024-03-24
david37@gmail.com,Male,37,running,110.0,680.22,11893,Tired,2024-04-14
michael33@yahoo.com,Male,57,cycling,39.0,147.43,0,Sad,2024-01-28
david38@yahoo.com,Male,36,swimming,23.0,263.08,0,Tired,2024-08-11
daniel35@outlook.com,Male,30,cycling,77.0,433.05,0,Tired,2024-12-19
james31@hotmail.com,Male,18,cycling,46.0,717.81,0,Energetic,2024-05-27
emma27@icloud.com,Female,46,cycling,114.0,309.65,0,Happy,2024-03-21
ava39@outlook.com,Female,20,gym,48.0,511.95,0,Energetic,2024-11-25
ava40@gmail.com,Female,26,yoga,79.0,483.85,0,Tired,2024-09-01
ava41@icloud.com,Female,50,running,72.0,185.34,9279,Sad,2024-11-28
olivia26@hotmail.com,Female,32,yoga,44.0,103.43,0,Neutral,2024-01-22
emma28@gmail.com,Female,20,walking,98.0,325.46,11530,Sad,2024-11-27
ava42@gmail.com,Female,42,swimming,63.0,360.5,0,Happy,2024-09-09
olivia27@hotmail.com,Female,49,yoga,92.0,55.61,0,Neutral,2024-08-06
michael34@outlook.com,Male,28,cycling,92.0,659.71,0,Neutral,2024-07-26
emma29@hotmail.com,Female,55,running,97.0,758.36,367,Neutral,2024-01-05
john37@yahoo.com,Male,21,running,48.0,834.08,8464,Energetic,2024-10-19
daniel36@icloud.com,Male,31,yoga,92.0,893.86,0,Energetic,2024-03-08
michael35@hotmail.com,Male,28,swimming,102.0,341.27,0,Sad,2024-10-03
sophia28@icloud.com,Female,27,gym,27.0,200.81,0,Sad,2024-10-02
sophia29@yahoo.com,Female,42,cycling,90.0,733.93,0,Sad,2024-02-14
olivia28@yahoo.com,Female,41,walking,34.0,412.16,9590,Tired,2024-05-28
james32@yahoo.com,Male,44,gym,115.0,523.93,0,Tired,2024-09-18
james33@hotmail.com,Male,60,walking,110.0,245.31,12830,Neutral,2024-02-07
ava43@outlook.com,Female,28,yoga,96.0,54.5,0,Neutral,2024-08-20
emily32@icloud.com,Female,64,yoga,66.0,571.87,0,Tired,2024-12-20
emma30@hotmail.com,Female,18,running,99.0,841.14,8489,Tired,2024-04-02
ava44@gmail.com,Female,61,walking,61.0,253.37,4,Neutral,2024-02-09
ava45@outlook.com,Female,51,walking,109.0,648.08,1477,Sad,2024-05-24
daniel37@icloud.com,Male,56,running,73.0,840.26,9419,Happy,2024-05-06
daniel38@outlook.com,Male,25,gym,47.0,794.7,0,Sad,2024-05-23
sophia30@hotmail.com,Female,47,swimming,73.0,812.05,0,Happy,2024-08-04
sophia31@icloud.com,Female,38,yoga,60.0,489.03,0,Tired,2024-04-10
emily33@hotmail.com,Female,48,cycling,60.0,235.78,0,Tired,2024-03-24
sophia32@yahoo.com,Female,33,cycling,41.0,244.83,0,Neutral,2024-10-12
emma31@gmail.com,Female,52,walking,76.0,365.52,5167,Energetic,2024-10-28
